timestamp,source_ip,destination_ip,protocol,length,tcp_flags,duration,inter_packet_time,size_entropy,label
1745777772.833792,192.168.43.188,212.73.221.217,Ether,306,PA,-0.0003597736358642578,0.0,-0.0,Normal
1745777772.859011,192.168.43.188,104.18.18.125,Ether,391,PA,0.024859189987182617,0.025296926498413086,1.0,Normal
1745777772.859329,192.168.43.188,104.18.18.125,Ether,85,PA,0.0251772403717041,0.0009942054748535156,1.584962500721156,Normal
1745777772.874043,172.217.133.167,192.168.43.188,Ether,71,,6.67572021484375e-06,0.0,-0.0,Normal
1745777772.940059,212.73.221.217,192.168.43.188,Ether,369,PA,7.557868957519531e-05,0.0,-0.0,Normal
1745777772.942587,192.168.43.188,212.73.221.217,Ether,306,PA,0.10843515396118164,0.08254551887512207,1.5,Normal
1745777772.953082,104.18.18.125,192.168.43.188,Ether,89,PA,0.00032806396484375,0.0,-0.0,Normal
1745777772.953082,104.18.18.125,192.168.43.188,Ether,89,PA,0.00032806396484375,0.08603286743164062,-0.0,Normal
1745777772.953166,192.168.43.188,104.18.18.125,Ether,54,A,0.11901426315307617,0.09681296348571777,1.9219280948873623,Normal
1745777773.039037,104.18.18.125,192.168.43.188,Ether,350,PA,0.08628296852111816,0.0020072460174560547,0.9182958340544896,Normal
1745777773.045968,212.73.221.217,192.168.43.188,Ether,525,PA,0.10598468780517578,0.10581684112548828,1.0,Normal
1745777773.048781,192.168.43.188,212.73.221.217,Ether,306,PA,0.2146291732788086,0.009000778198242188,1.792481250360578,Normal
1745777773.09185,192.168.43.188,104.18.18.125,Ether,54,A,0.25769829750061035,0.042943716049194336,1.8423709931771084,Normal
1745777773.15126,212.73.221.217,192.168.43.188,Ether,609,PA,0.21127653121948242,0.10501337051391602,1.584962500721156,Normal
1745777773.163689,192.168.43.188,212.73.221.217,Ether,304,PA,0.32953715324401855,0.07205820083618164,2.1556390622295662,Normal
1745777773.242184,151.101.9.91,192.168.43.188,Ether,82,PA,0.00037407875061035156,0.0,-0.0,Normal
1745777773.27429,212.73.221.217,192.168.43.188,Ether,293,PA,0.3343067169189453,0.12355661392211914,2.0,Normal
1745777773.27429,212.73.221.217,192.168.43.188,Ether,1474,A,0.3343067169189453,0.0020008087158203125,2.321928094887362,Normal
1745777773.274368,192.168.43.188,212.73.221.217,Ether,54,A,0.4402163028717041,0.11356616020202637,2.113283334294875,Normal
1745777773.276299,212.73.221.217,192.168.43.188,Ether,1474,A,0.3363156318664551,0.0020084381103515625,2.2516291673878226,Normal
1745777773.276299,212.73.221.217,192.168.43.188,Ether,1474,A,0.3363156318664551,0.008566141128540039,2.128085278891394,Normal
1745777773.276316,192.168.43.188,212.73.221.217,Ether,54,A,0.44216418266296387,0.011658191680908203,2.0464393446710156,Normal
1745777773.276645,212.73.221.217,192.168.43.188,Ether,1474,A,0.33666157722473145,0.0030770301818847656,2.0,Normal
1745777773.287077,212.73.221.217,192.168.43.188,Ether,1474,A,0.3470935821533203,0.0,1.879964948727111,Normal
1745777773.287077,212.73.221.217,192.168.43.188,Ether,1474,A,0.3470935821533203,0.0010018348693847656,1.7709505944546686,Normal
1745777773.287077,212.73.221.217,192.168.43.188,Ether,1474,A,0.3470935821533203,0.0010213851928710938,1.6729330318733675,Normal
1745777773.287077,212.73.221.217,192.168.43.188,Ether,1474,A,0.3470935821533203,0.000989675521850586,1.584962500721156,Normal
1745777773.287211,192.168.43.188,212.73.221.217,Ether,54,A,0.45305919647216797,0.004995822906494141,1.9717472571281809,Normal
1745777773.291098,192.168.43.188,151.101.9.91,Ether,54,A,0.45694637298583984,0.000997781753540039,1.896240625180289,Normal
1745777773.294568,212.73.221.217,192.168.43.188,Ether,1474,A,0.3545846939086914,0.0019865036010742188,1.5058762556041068,Normal
